"year","country_sector","country","sector","ecp_oecd","co2_oecd_total","co2_oecd_1a","co2_oecd_1b","co2_oecd_2","co2_oecd_3","co2_oecd_4","co2_oecd_5"
1990,"Rest of Americas (XAM) Household final consumption P.3h","Rest of Americas","Household final consumption P.3h",NA,2973.60626241351,2973.60626241351,0,0,0,0,0
1990,"Rest of Americas (XAM) Non-profit institutions serving households P.3n","Rest of Americas","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0
1990,"Rest of Americas (XAM) Government final consumption P.3g","Rest of Americas","Government final consumption P.3g",NA,0,0,0,0,0,0,0
1990,"Rest of Americas (XAM) Gross fixed capital formation P.51","Rest of Americas","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0
1990,"Rest of Americas (XAM) Changes in inventories P.52","Rest of Americas","Changes in inventories P.52",NA,0,0,0,0,0,0,0
1990,"Rest of Americas (XAM) Acquisitions less disposals of valuables P.53","Rest of Americas","Acquisitions less disposals of valuables P.53",NA,0,0,0,0,0,0,0
1990,"Rest of Europe (XEU) Household final consumption P.3h","Rest of Europe","Household final consumption P.3h",NA,350.928936608099,350.928936608099,0,0,0,0,0
1990,"Rest of Europe (XEU) Non-profit institutions serving households P.3n","Rest of Europe","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0
1990,"Rest of Europe (XEU) Government final consumption P.3g","Rest of Europe","Government final consumption P.3g",NA,0,0,0,0,0,0,0
1990,"Rest of Europe (XEU) Gross fixed capital formation P.51","Rest of Europe","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0
1990,"Rest of Europe (XEU) Changes in inventories P.52","Rest of Europe","Changes in inventories P.52",NA,0,0,0,0,0,0,0
1990,"Rest of Europe (XEU) Acquisitions less disposals of valuables P.53","Rest of Europe","Acquisitions less disposals of valuables P.53",NA,0,0,0,0,0,0,0
1990,"Rest of Africa (XAF) Household final consumption P.3h","Rest of Africa","Household final consumption P.3h",NA,607.018011065188,607.018011065189,0,0,0,0,0
1990,"Rest of Africa (XAF) Non-profit institutions serving households P.3n","Rest of Africa","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0
1990,"Rest of Africa (XAF) Government final consumption P.3g","Rest of Africa","Government final consumption P.3g",NA,0,0,0,0,0,0,0
1990,"Rest of Africa (XAF) Gross fixed capital formation P.51","Rest of Africa","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0
1990,"Rest of Africa (XAF) Changes in inventories P.52","Rest of Africa","Changes in inventories P.52",NA,0,0,0,0,0,0,0
1990,"Rest of Africa (XAF) Acquisitions less disposals of valuables P.53","Rest of Africa","Acquisitions less disposals of valuables P.53",NA,0,0,0,0,0,0,0
1990,"Rest of Asia-Pacific (XAS) Household final consumption P.3h","Rest of Asia-Pacific","Household final consumption P.3h",NA,22238.2639589063,22238.2639589063,0,0,0,0,0
1990,"Rest of Asia-Pacific (XAS) Non-profit institutions serving households P.3n","Rest of Asia-Pacific","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0
1990,"Rest of Asia-Pacific (XAS) Government final consumption P.3g","Rest of Asia-Pacific","Government final consumption P.3g",NA,0,0,0,0,0,0,0
1990,"Rest of Asia-Pacific (XAS) Gross fixed capital formation P.51","Rest of Asia-Pacific","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0
1990,"Rest of Asia-Pacific (XAS) Changes in inventories P.52","Rest of Asia-Pacific","Changes in inventories P.52",NA,0,0,0,0,0,0,0
