"","year","country_sector","country","sector","ecp","CO2"
"1",1990,"Rest of Americas (XAM) Household final consumption P.3h","Rest of Americas","Household final consumption P.3h",0,2973.60626241351
"2",1990,"Rest of Americas (XAM) Non-profit institutions serving households P.3n","Rest of Americas","Non-profit institutions serving households P.3n",NA,0
"3",1990,"Rest of Americas (XAM) Government final consumption P.3g","Rest of Americas","Government final consumption P.3g",NA,0
"4",1990,"Rest of Americas (XAM) Gross fixed capital formation P.51","Rest of Americas","Gross fixed capital formation P.51",NA,0
"5",1990,"Rest of Americas (XAM) Changes in inventories P.52","Rest of Americas","Changes in inventories P.52",NA,0
"6",1990,"Rest of Americas (XAM) Acquisitions less disposals of valuables P.53","Rest of Americas","Acquisitions less disposals of valuables P.53",NA,0
"7",1990,"Rest of Europe (XEU) Household final consumption P.3h","Rest of Europe","Household final consumption P.3h",0,350.928936608099
"8",1990,"Rest of Europe (XEU) Non-profit institutions serving households P.3n","Rest of Europe","Non-profit institutions serving households P.3n",NA,0
"9",1990,"Rest of Europe (XEU) Government final consumption P.3g","Rest of Europe","Government final consumption P.3g",NA,0
"10",1990,"Rest of Europe (XEU) Gross fixed capital formation P.51","Rest of Europe","Gross fixed capital formation P.51",NA,0
"11",1990,"Rest of Europe (XEU) Changes in inventories P.52","Rest of Europe","Changes in inventories P.52",NA,0
"12",1990,"Rest of Europe (XEU) Acquisitions less disposals of valuables P.53","Rest of Europe","Acquisitions less disposals of valuables P.53",NA,0
"13",1990,"Rest of Africa (XAF) Household final consumption P.3h","Rest of Africa","Household final consumption P.3h",0,607.018011065188
"14",1990,"Rest of Africa (XAF) Non-profit institutions serving households P.3n","Rest of Africa","Non-profit institutions serving households P.3n",NA,0
"15",1990,"Rest of Africa (XAF) Government final consumption P.3g","Rest of Africa","Government final consumption P.3g",NA,0
"16",1990,"Rest of Africa (XAF) Gross fixed capital formation P.51","Rest of Africa","Gross fixed capital formation P.51",NA,0
"17",1990,"Rest of Africa (XAF) Changes in inventories P.52","Rest of Africa","Changes in inventories P.52",NA,0
"18",1990,"Rest of Africa (XAF) Acquisitions less disposals of valuables P.53","Rest of Africa","Acquisitions less disposals of valuables P.53",NA,0
"19",1990,"Rest of Asia-Pacific (XAS) Household final consumption P.3h","Rest of Asia-Pacific","Household final consumption P.3h",0,22238.2639589063
"20",1990,"Rest of Asia-Pacific (XAS) Non-profit institutions serving households P.3n","Rest of Asia-Pacific","Non-profit institutions serving households P.3n",NA,0
"21",1990,"Rest of Asia-Pacific (XAS) Government final consumption P.3g","Rest of Asia-Pacific","Government final consumption P.3g",NA,0
"22",1990,"Rest of Asia-Pacific (XAS) Gross fixed capital formation P.51","Rest of Asia-Pacific","Gross fixed capital formation P.51",NA,0
"23",1990,"Rest of Asia-Pacific (XAS) Changes in inventories P.52","Rest of Asia-Pacific","Changes in inventories P.52",NA,0
"24",1990,"Rest of Asia-Pacific (XAS) Acquisitions less disposals of valuables P.53","Rest of Asia-Pacific","Acquisitions less disposals of valuables P.53",NA,0
"25",1990,"Afghanistan (AFG) Household final consumption P.3h","Afghanistan","Household final consumption P.3h",0,346.295664232325
"26",1990,"Afghanistan (AFG) Non-profit institutions serving households P.3n","Afghanistan","Non-profit institutions serving households P.3n",NA,0
"27",1990,"Afghanistan (AFG) Government final consumption P.3g","Afghanistan","Government final consumption P.3g",NA,0
"28",1990,"Afghanistan (AFG) Gross fixed capital formation P.51","Afghanistan","Gross fixed capital formation P.51",NA,0
"29",1990,"Afghanistan (AFG) Changes in inventories P.52","Afghanistan","Changes in inventories P.52",NA,0
"30",1990,"Afghanistan (AFG) Acquisitions less disposals of valuables P.53","Afghanistan","Acquisitions less disposals of valuables P.53",NA,0
"31",1990,"Angola (AGO) Household final consumption P.3h","Angola","Household final consumption P.3h",0,1012.75818349996
"32",1990,"Angola (AGO) Non-profit institutions serving households P.3n","Angola","Non-profit institutions serving households P.3n",NA,0
"33",1990,"Angola (AGO) Government final consumption P.3g","Angola","Government final consumption P.3g",NA,0
"34",1990,"Angola (AGO) Gross fixed capital formation P.51","Angola","Gross fixed capital formation P.51",NA,0
"35",1990,"Angola (AGO) Changes in inventories P.52","Angola","Changes in inventories P.52",NA,0
"36",1990,"Angola (AGO) Acquisitions less disposals of valuables P.53","Angola","Acquisitions less disposals of valuables P.53",NA,0
"37",1990,"Albania (ALB) Household final consumption P.3h","Albania","Household final consumption P.3h",0,724.649219133187
"38",1990,"Albania (ALB) Non-profit institutions serving households P.3n","Albania","Non-profit institutions serving households P.3n",NA,0
"39",1990,"Albania (ALB) Government final consumption P.3g","Albania","Government final consumption P.3g",NA,0
"40",1990,"Albania (ALB) Gross fixed capital formation P.51","Albania","Gross fixed capital formation P.51",NA,0
"41",1990,"Albania (ALB) Changes in inventories P.52","Albania","Changes in inventories P.52",NA,0
"42",1990,"Albania (ALB) Acquisitions less disposals of valuables P.53","Albania","Acquisitions less disposals of valuables P.53",NA,0
"43",1990,"United Arab Emirates (ARE) Household final consumption P.3h","United Arab Emirates","Household final consumption P.3h",0,9907.89320417629
"44",1990,"United Arab Emirates (ARE) Non-profit institutions serving households P.3n","United Arab Emirates","Non-profit institutions serving households P.3n",NA,0
"45",1990,"United Arab Emirates (ARE) Government final consumption P.3g","United Arab Emirates","Government final consumption P.3g",NA,0
"46",1990,"United Arab Emirates (ARE) Gross fixed capital formation P.51","United Arab Emirates","Gross fixed capital formation P.51",NA,0
"47",1990,"United Arab Emirates (ARE) Changes in inventories P.52","United Arab Emirates","Changes in inventories P.52",NA,0
"48",1990,"United Arab Emirates (ARE) Acquisitions less disposals of valuables P.53","United Arab Emirates","Acquisitions less disposals of valuables P.53",NA,0
"49",1990,"Argentina (ARG) Household final consumption P.3h","Argentina","Household final consumption P.3h",0,39856.2652218872
"50",1990,"Argentina (ARG) Non-profit institutions serving households P.3n","Argentina","Non-profit institutions serving households P.3n",NA,0
"51",1990,"Argentina (ARG) Government final consumption P.3g","Argentina","Government final consumption P.3g",NA,0
"52",1990,"Argentina (ARG) Gross fixed capital formation P.51","Argentina","Gross fixed capital formation P.51",NA,0
"53",1990,"Argentina (ARG) Changes in inventories P.52","Argentina","Changes in inventories P.52",NA,0
"54",1990,"Argentina (ARG) Acquisitions less disposals of valuables P.53","Argentina","Acquisitions less disposals of valuables P.53",NA,0
"55",1990,"Armenia (ARM) Household final consumption P.3h","Armenia","Household final consumption P.3h",0,8673.87712834856
"56",1990,"Armenia (ARM) Non-profit institutions serving households P.3n","Armenia","Non-profit institutions serving households P.3n",NA,0
"57",1990,"Armenia (ARM) Government final consumption P.3g","Armenia","Government final consumption P.3g",NA,0
"58",1990,"Armenia (ARM) Gross fixed capital formation P.51","Armenia","Gross fixed capital formation P.51",NA,0
"59",1990,"Armenia (ARM) Changes in inventories P.52","Armenia","Changes in inventories P.52",NA,0
"60",1990,"Armenia (ARM) Acquisitions less disposals of valuables P.53","Armenia","Acquisitions less disposals of valuables P.53",NA,0
"61",1990,"Australia (AUS) Household final consumption P.3h","Australia","Household final consumption P.3h",0,50514.189591035
"62",1990,"Australia (AUS) Non-profit institutions serving households P.3n","Australia","Non-profit institutions serving households P.3n",NA,0
"63",1990,"Australia (AUS) Government final consumption P.3g","Australia","Government final consumption P.3g",NA,0
"64",1990,"Australia (AUS) Gross fixed capital formation P.51","Australia","Gross fixed capital formation P.51",NA,0
"65",1990,"Australia (AUS) Changes in inventories P.52","Australia","Changes in inventories P.52",NA,0
"66",1990,"Australia (AUS) Acquisitions less disposals of valuables P.53","Australia","Acquisitions less disposals of valuables P.53",NA,0
"67",1990,"Austria (AUT) Household final consumption P.3h","Austria","Household final consumption P.3h",0,24550.149861523
"68",1990,"Austria (AUT) Non-profit institutions serving households P.3n","Austria","Non-profit institutions serving households P.3n",NA,0
"69",1990,"Austria (AUT) Government final consumption P.3g","Austria","Government final consumption P.3g",NA,0
"70",1990,"Austria (AUT) Gross fixed capital formation P.51","Austria","Gross fixed capital formation P.51",NA,0
"71",1990,"Austria (AUT) Changes in inventories P.52","Austria","Changes in inventories P.52",NA,0
"72",1990,"Austria (AUT) Acquisitions less disposals of valuables P.53","Austria","Acquisitions less disposals of valuables P.53",NA,0
"73",1990,"Azerbaijan (AZE) Household final consumption P.3h","Azerbaijan","Household final consumption P.3h",0,11902.022827709
"74",1990,"Azerbaijan (AZE) Non-profit institutions serving households P.3n","Azerbaijan","Non-profit institutions serving households P.3n",NA,0
"75",1990,"Azerbaijan (AZE) Government final consumption P.3g","Azerbaijan","Government final consumption P.3g",NA,0
"76",1990,"Azerbaijan (AZE) Gross fixed capital formation P.51","Azerbaijan","Gross fixed capital formation P.51",NA,0
"77",1990,"Azerbaijan (AZE) Changes in inventories P.52","Azerbaijan","Changes in inventories P.52",NA,0
"78",1990,"Azerbaijan (AZE) Acquisitions less disposals of valuables P.53","Azerbaijan","Acquisitions less disposals of valuables P.53",NA,0
"79",1990,"Burundi (BDI) Household final consumption P.3h","Burundi","Household final consumption P.3h",0,80.9753207715439
"80",1990,"Burundi (BDI) Non-profit institutions serving households P.3n","Burundi","Non-profit institutions serving households P.3n",NA,0
"81",1990,"Burundi (BDI) Government final consumption P.3g","Burundi","Government final consumption P.3g",NA,0
"82",1990,"Burundi (BDI) Gross fixed capital formation P.51","Burundi","Gross fixed capital formation P.51",NA,0
"83",1990,"Burundi (BDI) Changes in inventories P.52","Burundi","Changes in inventories P.52",NA,0
"84",1990,"Burundi (BDI) Acquisitions less disposals of valuables P.53","Burundi","Acquisitions less disposals of valuables P.53",NA,0
"85",1990,"Belgium (BEL) Household final consumption P.3h","Belgium","Household final consumption P.3h",0,42615.9306487372
"86",1990,"Belgium (BEL) Non-profit institutions serving households P.3n","Belgium","Non-profit institutions serving households P.3n",NA,0
"87",1990,"Belgium (BEL) Government final consumption P.3g","Belgium","Government final consumption P.3g",NA,0
"88",1990,"Belgium (BEL) Gross fixed capital formation P.51","Belgium","Gross fixed capital formation P.51",NA,0
"89",1990,"Belgium (BEL) Changes in inventories P.52","Belgium","Changes in inventories P.52",NA,0
