"year","country","sector","ecp_oecd","co2_oecd_total","co2_oecd_1a","co2_oecd_1a3b","co2_oecd_1a4","co2_oecd_1b","co2_oecd_2","co2_oecd_3","co2_oecd_4","co2_oecd_5"
1990,"Rest of Americas","Household final consumption P.3h",NA,2973.60626241351,2973.60626241351,2081.32530745943,892.280954954077,0,0,0,0,0
1990,"Rest of Americas","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Americas","Government final consumption P.3g",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Americas","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Americas","Changes in inventories P.52",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Americas","Acquisitions less disposals of valuables P.53",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Europe","Household final consumption P.3h",NA,350.928936608099,350.928936608099,154.048734433308,196.880202174791,0,0,0,0,0
1990,"Rest of Europe","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Europe","Government final consumption P.3g",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Europe","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Europe","Changes in inventories P.52",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Europe","Acquisitions less disposals of valuables P.53",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Africa","Household final consumption P.3h",NA,607.018011065188,607.018011065189,342.400618254928,264.617392810261,0,0,0,0,0
1990,"Rest of Africa","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Africa","Government final consumption P.3g",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Africa","Gross fixed capital formation P.51",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Africa","Changes in inventories P.52",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Africa","Acquisitions less disposals of valuables P.53",NA,0,0,0,0,0,0,0,0,0
1990,"Rest of Asia-Pacific","Household final consumption P.3h",NA,22238.2639589063,22238.2639589063,11736.3591724422,10501.9047864641,0,0,0,0,0
1990,"Rest of Asia-Pacific","Non-profit institutions serving households P.3n",NA,0,0,0,0,0,0,0,0,0
