Jurisdiction,Year,iea_code,CO2_em_sharesec,ets_ew_price_sector_2019USD,tax_ew_price_sector_2019USD,total_ew_price_sector_2019USD
Afghanistan,1989,ABFLOW003,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW004,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW005,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW011,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW013,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW014,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW016,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW017,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW018,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW019,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW020,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW021,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW022,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW023,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW024,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW025,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW026,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW028,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW029,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW030,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW032,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW033,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW034,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW035,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW036,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW037,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW039,0.0,0.0,0.0,0.0
Afghanistan,1989,ABFLOW040,0.0,0.0,0.0,0.0
Afghanistan,1989,NA,0.0,0.0,0.0,0.0
Afghanistan,1990,ABFLOW003,0.0,0.0,0.0,0.0
Afghanistan,1990,ABFLOW004,0.0,0.0,0.0,0.0
Afghanistan,1990,ABFLOW005,0.0,0.0,0.0,0.0
