group,stat_name,2020,2021,2022,2023,2024
All,count,297.0,297.0,297.0,297.0,297.0
All,max,84.01,107.19,129.33,133.43,141.16
All,mean,3.7,5.59,7.47,7.67,7.33
All,median,0.0,0.0,0.0,0.0,0.0
All,min,0.0,0.0,0.0,0.0,0.0
All,std,10.44,14.62,19.36,19.99,19.42
AsiaPacific,count,39.0,39.0,39.0,39.0,39.0
AsiaPacific,max,18.49,28.18,40.11,30.31,28.96
AsiaPacific,mean,0.62,0.91,1.25,1.01,1.27
AsiaPacific,median,0.0,0.0,0.0,0.0,0.0
AsiaPacific,min,0.0,0.0,0.0,0.0,0.0
AsiaPacific,std,2.99,4.53,6.43,4.88,5.03
EU27,count,26.0,26.0,26.0,26.0,26.0
EU27,max,83.13,107.19,119.23,120.28,118.26
EU27,mean,22.14,39.97,52.8,52.1,44.3
EU27,median,15.66,37.04,51.88,50.2,39.07
EU27,min,7.76,18.53,23.3,22.82,17.79
EU27,std,18.62,20.05,21.34,21.86,23.29
MiddleIncome,count,105.0,105.0,105.0,105.0,105.0
MiddleIncome,max,19.08,40.38,55.02,53.13,41.16
MiddleIncome,mean,0.49,0.84,1.06,0.99,0.84
MiddleIncome,median,0.0,0.0,0.0,0.0,0.0
MiddleIncome,min,0.0,0.0,0.0,0.0,0.0
MiddleIncome,std,2.54,5.0,6.56,6.26,4.96
OECD,count,36.0,36.0,36.0,36.0,36.0
OECD,max,84.01,107.19,119.23,126.02,137.02
OECD,mean,20.13,32.15,40.93,40.44,36.01
OECD,median,15.11,28.16,40.93,39.93,31.32
OECD,min,0.0,0.0,0.0,0.0,0.0
OECD,std,21.07,25.3,29.1,31.49,31.72
